id	label	source
http://eurovoc.europa.eu/433963	GLOBAL WARMING	EUROVOC
http://eurovoc.europa.eu/1433	TRANSPORT INFRASTRUCTURE	EUROVOC
http://eurovoc.europa.eu/1835	MATHEMATICS	EUROVOC
http://eurovoc.europa.eu/3151	INSURANCE	EUROVOC
http://eurovoc.europa.eu/3332	UNEMPLOYMENT INSURANCE	EUROVOC
http://eurovoc.europa.eu/1993	OCCUPATIONAL MORTALITY	EUROVOC
http://eurovoc.europa.eu/3348	CRIME	EUROVOC
http://eurovoc.europa.eu/434	DIABETES	EUROVOC
http://eurovoc.europa.eu/5104	CANCER	EUROVOC
http://eurovoc.europa.eu/4505	AIR TRANSPORT	EUROVOC
http://eurovoc.europa.eu/1054	COMMON FUND	EUROVOC
http://eurovoc.europa.eu/1091	EXEMPTION FROM CUSTOMS DUTIES	EUROVOC
http://eurovoc.europa.eu/2519	TARIFF POLICY	EUROVOC
http://eurovoc.europa.eu/5368	MOVEMENT CERTIFICATE	EUROVOC
http://eurovoc.europa.eu/5647	TAX-FREE ALLOWANCE	EUROVOC
http://eurovoc.europa.eu/110	CONGLOMERATE	EUROVOC
http://eurovoc.europa.eu/1592	ANTI-TRUST LEGISLATION	EUROVOC
http://eurovoc.europa.eu/1133	CHILD CARE	EUROVOC
http://eurovoc.europa.eu/3916	CHILDREN'S RIGHTS	EUROVOC
http://eurovoc.europa.eu/758	CHILD	EUROVOC
http://eurovoc.europa.eu/1147	GEOCHEMISTRY	EUROVOC
http://eurovoc.europa.eu/5966	CHEMISTRY	EUROVOC
http://eurovoc.europa.eu/1157	AREA MANAGEMENT	EUROVOC
http://eurovoc.europa.eu/4619	TOWN PLANNING	EUROVOC
http://eurovoc.europa.eu/861	GREEN AREA	EUROVOC
http://eurovoc.europa.eu/1236	BURKINA FASO	EUROVOC
http://eurovoc.europa.eu/351	WEST AFRICA	EUROVOC
http://eurovoc.europa.eu/4607	WAEMU COUNTRIES	EUROVOC
http://eurovoc.europa.eu/5083	ACP COUNTRIES	EUROVOC
http://eurovoc.europa.eu/5302	ECOWAS COUNTRIES	EUROVOC
http://eurovoc.europa.eu/1250	PREPARED FOODSTUFF	EUROVOC
http://eurovoc.europa.eu/1373	CATERING INDUSTRY	EUROVOC
http://eurovoc.europa.eu/2782	DEEP-FROZEN PRODUCT	EUROVOC
http://eurovoc.europa.eu/1290	CHANNEL ISLANDS	EUROVOC
http://eurovoc.europa.eu/3780	REGIONS OF THE UNITED KINGDOM	EUROVOC
http://eurovoc.europa.eu/1294	FAROE ISLANDS	EUROVOC
http://eurovoc.europa.eu/337	REGIONS OF DENMARK	EUROVOC
http://eurovoc.europa.eu/1320	NON-PERSONAL TAX	EUROVOC
http://eurovoc.europa.eu/1322	WEALTH TAX	EUROVOC
http://eurovoc.europa.eu/3721	WEALTH	EUROVOC
http://eurovoc.europa.eu/1330	TAX ON EMPLOYMENT INCOME	EUROVOC
http://eurovoc.europa.eu/3843	PAY	EUROVOC
http://eurovoc.europa.eu/5869	DEDUCTION AT SOURCE	EUROVOC
http://eurovoc.europa.eu/1334	INCAPACITY FOR WORK	EUROVOC
http://eurovoc.europa.eu/3412	DISABILITY INSURANCE	EUROVOC
http://eurovoc.europa.eu/1419	ELIMINATION OF ILLITERACY	EUROVOC
http://eurovoc.europa.eu/672	BASIC EDUCATION	EUROVOC
http://eurovoc.europa.eu/789	COMPULSORY EDUCATION	EUROVOC
http://eurovoc.europa.eu/1691	ILLITERACY	EUROVOC
http://eurovoc.europa.eu/1489	INVESTMENT ABROAD	EUROVOC
http://eurovoc.europa.eu/947	EXPORT OF CAPITAL	EUROVOC
http://eurovoc.europa.eu/1599	LEGISLATIVE PERIOD	EUROVOC
http://eurovoc.europa.eu/4147	PARLIAMENTARY SESSION	EUROVOC
http://eurovoc.europa.eu/1689	LOCKOUT	EUROVOC
http://eurovoc.europa.eu/1729	MADAGASCAR	EUROVOC
http://eurovoc.europa.eu/1746	ABSOLUTE MAJORITY	EUROVOC
http://eurovoc.europa.eu/1750	QUALIFIED MAJORITY	EUROVOC
http://eurovoc.europa.eu/1766	MALAWI	EUROVOC
http://eurovoc.europa.eu/1778	ELECTIVE OFFICE	EUROVOC
http://eurovoc.europa.eu/695	ELECTION	EUROVOC
http://eurovoc.europa.eu/471	DISSOLUTION OF PARLIAMENT	EUROVOC
http://eurovoc.europa.eu/1797	NEGOTIATED CONTRACT	EUROVOC
http://eurovoc.europa.eu/1808	OPEN MARKET	EUROVOC
http://eurovoc.europa.eu/2959	REDISCOUNTING	EUROVOC
http://eurovoc.europa.eu/1814	MARGARINE	EUROVOC
http://eurovoc.europa.eu/1825	MONEY SUPPLY	EUROVOC
http://eurovoc.europa.eu/1900	MEZZOGIORNO	EUROVOC
http://eurovoc.europa.eu/1520	REGIONS OF ITALY	EUROVOC
http://eurovoc.europa.eu/645	MEDITERRANEAN AGRICULTURE	EUROVOC
http://eurovoc.europa.eu/1903	MICRONESIA	EUROVOC
http://eurovoc.europa.eu/2006	COMPLEMENTARITY AGREEMENT	EUROVOC
http://eurovoc.europa.eu/2048	DILLON ROUND	EUROVOC
http://eurovoc.europa.eu/2052	NEPAL	EUROVOC
http://eurovoc.europa.eu/2201	SEATO	EUROVOC
http://eurovoc.europa.eu/2223	CROSS VOTING	EUROVOC
http://eurovoc.europa.eu/2230	QUASI-FISCAL CHARGE	EUROVOC
http://eurovoc.europa.eu/2263	ONE-PARTY SYSTEM	EUROVOC
http://eurovoc.europa.eu/2298	MEMBER COUNTRY	EUROVOC
http://eurovoc.europa.eu/2303	ARMS SUPPLY	EUROVOC
http://eurovoc.europa.eu/237	COREPER	EUROVOC
http://eurovoc.europa.eu/7417	PERMANENT REPRESENTATION TO THE EU	EUROVOC
http://eurovoc.europa.eu/2526	NOISE POLLUTION	EUROVOC
http://eurovoc.europa.eu/5048	NOISE	EUROVOC
http://eurovoc.europa.eu/2824	NOISE PROTECTION	EUROVOC
http://eurovoc.europa.eu/2589	PRE-PACKAGING	EUROVOC
http://eurovoc.europa.eu/2617	PRIMACY OF THE LAW	EUROVOC
http://eurovoc.europa.eu/2618	PRIMACY OF EU LAW	EUROVOC
http://eurovoc.europa.eu/2641	CIF PRICE	EUROVOC
http://eurovoc.europa.eu/4522	MARITIME TRANSPORT	EUROVOC
http://eurovoc.europa.eu/2659	WITHDRAWAL PRICE	EUROVOC
http://eurovoc.europa.eu/3618	WITHDRAWAL FROM THE MARKET	EUROVOC
http://eurovoc.europa.eu/2669	ADMINISTRATIVE ORDER	EUROVOC
http://eurovoc.europa.eu/3099	REGULATION	EUROVOC
http://eurovoc.europa.eu/2671	FREE-ON-BOARD PRICE	EUROVOC
http://eurovoc.europa.eu/2719	UNDERPRODUCTION	EUROVOC
http://eurovoc.europa.eu/2761	GROSS DOMESTIC PRODUCT	EUROVOC
http://eurovoc.europa.eu/536	ECONOMIC AGGREGATE	EUROVOC
http://eurovoc.europa.eu/2764	FREEZE-DRIED PRODUCT	EUROVOC
http://eurovoc.europa.eu/1715	FREEZE-DRYING	EUROVOC
http://eurovoc.europa.eu/1571	POWDERED MILK	EUROVOC
http://eurovoc.europa.eu/2776	RECONSTITUTED PRODUCT	EUROVOC
http://eurovoc.europa.eu/2810	PERFORMING ARTS	EUROVOC
http://eurovoc.europa.eu/2688	ARTS	EUROVOC
http://eurovoc.europa.eu/2877	DECONTAMINATION	EUROVOC
http://eurovoc.europa.eu/2878	QUORUM	EUROVOC
http://eurovoc.europa.eu/4762	PARLIAMENTARY VOTE	EUROVOC
http://eurovoc.europa.eu/2880	ELECTORAL QUOTA	EUROVOC
http://eurovoc.europa.eu/3313	ALLOCATION OF SEATS	EUROVOC
http://eurovoc.europa.eu/3383	PROPORTIONAL REPRESENTATION	EUROVOC
